ds,dep_var,trend,season,weekday,holiday,boolean_value_3,boolean_value_5,boolean_value_6,boolean_value_7,boolean_value_8,boolean_value_10,boolean_value_12,boolean_value_13,boolean_value_14,boolean_value_16,boolean_value_18,boolean_value_19,boolean_value_20,boolean_value_21,boolean_value_22,boolean_value_23,covid.19.Infected.person_1,weather_Average.temperature..._1,weather_Total.precipitation.mm._1,weather_Daylight.hours..hours._1,Complementary.goods_1,Complementary.goods_2,Complementary.goods_3,Influencer_Post,price_16,Event,macroeconomic_indicators_1,macroeconomic_indicators_4,macroeconomic_indicators_13,macroeconomic_indicators_14,consecutive_holidays_1,consecutive_holidays_2,consecutive_holidays_3,consecutive_holidays_4,consecutive_holidays_5,consecutive_holidays_6,consecutive_holidays_7,consecutive_holidays_8,consecutive_holidays_9,consecutive_holidays_10,consecutive_holidays_11,consecutive_holidays_12,boolean_value_S_1,Influencer_big_fix_S,Influencer_small_fix_S,Yahoo_S,Yahoo_other_S,Twitter_S,Google_other_S,FB_undefined_S,FB_u25_S,FB_28_similar_S,FB_30_broad_S,FB_30_similar_S,FB_30_retarg_S,FB_40_broad_S,FB_40_similar_S,FB_40_retarg_S,FB_50_S,FB_male_other_S,FB_female_other_S,Google_listing_S,Google_Proslisting_S,Google_undefined_S,PR_I,Google_trends_1,Referral_P_1,Twitter_scrolling_increment_1,intercept,depVarHat,solID
2020/5/26,6,3.486957792,-1.329672334,-2.015560203,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001446703,2.64475752,0.02913415,0.038833853,-0.296967419,0.263100525,1.079831172,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.274668784,0,0,0,0,0,0,0,0,0,0.008884024,1.44770916,0,0,0,0,0.004424502,0,0.000790148,0,0.891134309,2_699_2
2020/5/27,8,3.494041608,-1.490412212,-2.157936724,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001591373,2.708029231,0,0.85434476,-0.263558584,0.1991031,1.336933833,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.259711065,0,0,0,0,0,0,0,0,0,0.005435087,1.487997648,0,0,0,0,0.002999872,0,7.05E-05,0,1.691146475,2_699_2
2020/5/28,9,3.501125424,-1.661640825,-3.200749444,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.002170054,2.454942387,0.553548851,0.718426276,-0.278406955,0.277322175,1.336933833,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.249975515,0,0,0,0,0,0,0,0,0,0.00327606,1.523702786,0,0,0,0,0.001756049,0,5.42E-06,0,0.735183535,2_699_2
2020/5/29,4,3.50820924,-1.842685382,-3.418464741,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.003038076,2.619448836,0,2.504783502,-0.222725564,0.234657225,1.02841064,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.235196922,0,0,0,0,0,0,0,0,0,0.001946544,1.555879776,0,0,0,0,0.000869995,0,3.69E-07,0,1.461361368,2_699_2
2020/5/30,6,3.515293056,-2.032616571,3.382029333,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.002025384,2.783955285,0,1.728106447,-0.200453008,0.2275464,1.02841064,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.107709346,0,0,0,0,0,0,0,0,0,0.048863085,1.567056804,0,0,0,0,0.000358791,0,2.26E-08,0,7.411080945,2_699_2
2020/5/31,7,3.522376872,-2.230245337,8.16043396,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.000723351,2.695374889,0,0.038833853,-0.230149749,0.412427849,1.336933833,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.123407778,0,0,0,0,0,0,0,0,0,0.233561434,1.595323992,0,0,0,0,0.000121457,0,1.27E-09,0,10.91192011,2_699_2
2020/6/1,5,3.529460687,-2.434127366,-0.749752181,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001880714,2.480251072,0.2330732,0,-0.237573935,0.2275464,1.491195429,0,-2.727310294,0.092575749,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.145203021,0,0,0,0,0,0,0,0,0,0.377236666,1.620721181,0,0,0,0,3.33E-05,0,6.55E-11,0,2.008014855,2_699_2
2020/6/2,4,3.536544502,-2.642575658,-2.015560203,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.00491879,2.821918311,0,0.796093981,-0.207877193,0.220435575,1.02841064,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.164224108,0,0,0,0,0,0,0,0,0,0.48407293,1.64353655,0,0,0,0,7.34E-06,0,3.14E-12,0,1.064440554,2_699_2
2020/6/3,10,3.543628317,-2.853681383,-2.157936724,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001736043,3.037042129,0,1.203849435,-0.215301378,0.2275464,1.439774897,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.187799293,0,0,0,0,0,0,0,0,0,0.566087267,1.662880867,0,0,0,0,1.29E-06,0,1.41E-13,0,1.873717323,2_699_2
2020/6/4,9,3.550712132,-3.065342885,-3.200749444,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.004050768,2.973770418,0,1.048514024,-0.256134398,0.220435575,1.285513301,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.200019714,0,0,0,0,0,0,0,0,0,0.628635991,1.681179766,0,0,0,0,0.000288465,0,0.049867495,0,0.351051798,2_699_2
2020/6/5,7,3.557795948,-3.275302446,-3.418464741,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.002893406,3.138276866,0,1.572771036,-0.241286028,0.1991031,1.131251704,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.2147933,0,0,0,0,0,0,0,0,0,0.674019588,1.69731269,0,0,0,0,0.001736732,0,0.00728661,0,7.429666834,2_699_2
2020/6/6,13,3.564879763,-3.481190159,3.382029333,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.003761427,3.062350813,0.378743951,0.368921601,-0.296967419,0.248878875,1.439774897,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.199347755,0,0,0,0,0,0,0,0,0,0.704337349,1.711276123,0,0,0,0,0.001461947,0,0.092075591,0,13.54716091,2_699_2
2020/6/7,13,3.571963578,-3.680573958,8.16043396,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.002025384,2.783955285,0.02913415,1.669855668,-0.400906015,0.319987125,1.336933833,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.076127648,0,0,0,0,0,0,0,0,0,0.723887855,1.723490778,0,0,0,0,0.004149526,0,0.01232157,0,18.50026545,2_699_2
2020/6/8,2,3.579047393,-3.871014642,-0.749752181,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.001880714,2.935807391,0,1.728106447,-0.278406955,0.234657225,1.336933833,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.839543461,0,0,0,0,0,0,0,0,0,0.605289529,1.698691058,0,0,0,0,0.003066342,0,0.001265304,0,9.232593985,2_699_2
2020/6/9,3,3.586131208,-4.050124486,-2.015560203,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.001736043,3.226857262,0,2.524200428,-0.289543233,0.234657225,1.234092768,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.627395279,0,0,0,0,0,0,0,0,0,0.479043032,1.666190587,0,0,0,0,0.001968037,0,0.000108538,0,8.394631552,2_699_2
2020/6/10,12,3.593215023,-4.215627881,-2.157936724,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.002604065,3.315437657,0,2.155278827,-0.293255326,0.21332475,0.925569576,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.789948857,0,0,0,0,0,0,0,0,0,0.553106031,1.680765642,0,0,0,0,0.001079588,0,8.09E-06,0,7.730997247,2_699_2
2020/6/11,11,3.600298838,-4.365422265,-3.200749444,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.003182746,3.176239893,0.582683001,0.679592423,-0.215301378,0.1991031,1.336933833,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.907570363,0,0,0,0,0,0,0,0,0,0.629196616,1.690406665,0,0,0,0,0.000499942,0,5.38E-07,0,6.191713937,2_699_2
2020/6/12,2,3.607382654,-4.497637581,-3.418464741,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.003616757,3.315437657,0.32047565,0.776677055,-0.211589286,0.234657225,1.439774897,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.871624482,0,0,0,0,0,0,0,0,0,0.735992586,1.755822733,0,0,0,0,0.005253778,0,3.23E-08,0,6.106502966,2_699_2
2020/6/13,4,3.614466469,-4.610692399,3.382029333,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.003472087,2.695374889,2.068524653,0,-0.263558584,0.2559897,0.925569576,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.841942939,0,0,0,0,0,0,0,0,0,0.827421608,1.89519987,0,0,0,0,0.00359509,0,1.78E-09,0,12.8068143,2_699_2
2020/6/14,1,3.621550284,-4.703344919,8.16043396,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,6.937188191,0.207578961,6.464464207,0,0,0,0.006799503,2.745992258,0.32047565,0,-0.256134398,0.234657225,1.799718621,0,-2.727310294,0,11.97046153,-6.238902985,-6.724018378,4.730507412,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.798460907,0,0,0,0,0,0,0,0,0,0.880621351,2.001300112,0,0,0,0,0.006787371,0,9.05E-11,0,16.78479699,2_699_2
